row_kind,project,vendor,doc_type,doc_id,doc_date,ref_quote_id,page,line_no,label_as_printed,description,qty,unit_amount,amount,category,confidence,note,pages_total,pages_read,native_or_scan,mapping_provided,source_file
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,1,1,Task chair TC-200,"Task chair, model TC-200",40,350,14000,PRODUCT,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,1,2,Desk HA-1600,Height-adjustable desk 1600,40,620,24800,PRODUCT,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,2,3,Pedestal,Storage pedestal,40,180,7200,PRODUCT,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,2,4,Installation,"Installation, 40 workstations, fixed price",,,9600,INSTALL,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,2,5,Project management,Project management fee,,,2400,LABOUR,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,2,6,Freight,Freight to site,,,1800,LABOUR,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,3,7,Contingency,Contingency allowance,,,2000,ALLOWANCE,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
line,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,3,8,Sales tax,Sales tax 8%,,,3680,EXCLUDED,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
total,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,3,,Product subtotal,,,,46000,PRODUCT,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
total,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,3,,Installation,,,,9600,INSTALL,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
total,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,3,,Services subtotal,,,,4200,LABOUR,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
total,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,3,,Grand total,,,,65480,GRAND,H,,,,,,Project Alpha__Vendor A__quote__Q-1001.pdf
coverage,Project Alpha,Vendor A,quote,Q-1001,2026-05-04,,,,,,,,,,,,3,1-3,native,Y,Project Alpha__Vendor A__quote__Q-1001.pdf
